ID	REFSEQ	GENE_SYMBOL	GENE_NAME	ENSEMBL_ID
A_33_P3327106		LOC100129900	P008-1	
A_33_P3273474	NM_001765	CD1C	CD1c molecule	ENST00000368169
A_33_P3385725	NM_001004137	OR52M1	olfactory receptor, family 52, subfamily M, member 1	ENST00000360213
A_33_P3421703		SP2	Sp2 transcription factor	ENST00000322172
A_21_P0000358	NR_003017	SNORA71C	small nucleolar RNA, H/ACA box 71C	
A_33_P3402489	NM_006187	OAS3	2'-5'-oligoadenylate synthetase 3, 100kDa	ENST00000228928
A_33_P3326882		LOC100131032	uncharacterized LOC100131032	
A_33_P3358893	NM_002762	PRM2	protamine 2	ENST00000241808
A_23_P161507	NM_004923	MTL5	metallothionein-like 5, testis-specific (tesmin)	ENST00000255087
A_23_P148297	NM_003022	SH3BGRL	SH3 domain binding glutamic acid-rich protein like	ENST00000373212
A_21_P0000013	NM_001145951	TIMM8A	translocase of inner mitochondrial membrane 8 homolog A (yeast)	
A_23_P251893	NM_152743	BRAT1	BRCA1-associated ATM activator 1	ENST00000340611
A_23_P434301	NM_002823	PTMA	prothymosin, alpha	ENST00000448874
A_33_P3386467	NR_024530	RPL23AP7	ribosomal protein L23a pseudogene 7	ENST00000423888
A_23_P63281	NM_001029885	GLTPD1	glycolipid transfer protein domain containing 1	ENST00000343938
A_24_P124558	NM_022658	HOXC8	homeobox C8	ENST00000040584
A_23_P169873	NR_002720	TRPC2	transient receptor potential cation channel, subfamily C, member 2, pseudogene	ENST00000526541
A_23_P20068	NM_000840	GRM3	glutamate receptor, metabotropic 3	ENST00000394720
A_21_P0007414		XLOC_009584		
A_24_P919452				
A_33_P3245120	NR_033841	LOC200772	uncharacterized LOC200772	ENST00000457369
A_24_P532180	NR_026954	LOC90246	uncharacterized LOC90246	
A_23_P16573	NM_019070	DDX49	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49	ENST00000438170
A_23_P151307	NM_006105	RAPGEF3	Rap guanine nucleotide exchange factor (GEF) 3	ENST00000490387
A_21_P0012024	XR_109894	LOC100507460	uncharacterized LOC100507460	
A_21_P0001739		XLOC_000980		ENST00000440801
A_23_P216845	NM_004188	GFI1B	growth factor independent 1B transcription repressor	ENST00000372124
A_21_P0014721	XR_112634	LOC100506564		ENST00000514732
A_23_P356494	NM_006846	SPINK5	serine peptidase inhibitor, Kazal type 5	ENST00000359874
A_33_P3217517	NM_138464	C5orf55	chromosome 5 open reading frame 55	ENST00000408966
A_23_P70148	NM_182977	NNT	nicotinamide nucleotide transhydrogenase	ENST00000542759
A_23_P65609	NM_015859	GTF2A1	general transcription factor IIA, 1, 19/37kDa	ENST00000434192
A_24_P210675	NM_017668	NDE1	nudE nuclear distribution gene E homolog 1 (A. nidulans)	ENST00000396353
A_33_P3418091	NM_001130136	ISLR2	immunoglobulin superfamily containing leucine-rich repeat 2	
A_19_P00331839	NR_034127	LOC100132356	uncharacterized LOC100132356	
A_23_P81859	NM_080596	HIST1H2AH	histone cluster 1, H2ah	ENST00000377459
A_33_P3299119	NM_000545	HNF1A	HNF1 homeobox A	ENST00000340577
A_33_P3386242	NM_006314	CNKSR1	connector enhancer of kinase suppressor of Ras 1	ENST00000374253
A_23_P146497	NM_014811	PPP1R26	protein phosphatase 1, regulatory subunit 26	ENST00000356818
A_33_P3213518				
A_33_P3252605	NM_183075	CYP2U1	cytochrome P450, family 2, subfamily U, polypeptide 1	ENST00000332884
A_21_P0006966		XLOC_008729		
A_21_P0001712		XLOC_000547		ENST00000448988
A_33_P3323892				
A_33_P3399566		LOC100130931	uncharacterized LOC100130931	
A_23_P72117	NM_006714	SMPDL3A	sphingomyelin phosphodiesterase, acid-like 3A	ENST00000539041
A_21_P0002235		XLOC_001514		
A_33_P3318384				
A_24_P390403	NM_015138	RTF1	Rtf1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)	ENST00000389629
A_33_P3312754				
A_33_P3213064	NM_005419	STAT2	signal transducer and activator of transcription 2, 113kDa	ENST00000556539
A_24_P160413	NR_026850	MTMR9LP	myotubularin related protein 9-like, pseudogene	ENST00000441044
A_33_P3268478		ENO4	enolase family member 4	ENST00000369207
A_21_P0013260		XLOC_l2_013547		
A_23_P152038	NM_052903	TUBGCP5	tubulin, gamma complex associated protein 5	ENST00000453949
A_21_P0012990		XLOC_l2_012071		ENST00000507733
A_33_P3392921	NM_001184740	CTTN	cortactin	ENST00000533931
A_21_P0000420	NR_003216	SNORD114-23	small nucleolar RNA, C/D box 114-23	
A_23_P12140	NM_000969	RPL5	ribosomal protein L5	ENST00000461952
A_33_P3576853	NR_037857	LOC254128	uncharacterized LOC254128	
A_23_P422511	NM_182556	SLC25A45	solute carrier family 25, member 45	ENST00000417511
A_21_P0005666		XLOC_006732		
A_24_P380022	NM_020390	EIF5A2	eukaryotic translation initiation factor 5A2	ENST00000295822
A_21_P0008683		XLOC_011368		
A_23_P27734	NM_002517	NPAS1	neuronal PAS domain protein 1	ENST00000449844
A_33_P3495962		SNORA71A	small nucleolar RNA, H/ACA box 71A	
A_23_P363826	NM_033406	FBXO3	F-box protein 3	ENST00000448981
A_23_P30098	NM_000670	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	ENST00000423445
A_23_P127662	NM_001002917	OR8D1	olfactory receptor, family 8, subfamily D, member 1	ENST00000357821
A_24_P298587				ENST00000531225
A_19_P00802098		XLOC_001952	0	ENST00000423704
A_21_P0003797		XLOC_004165		
A_21_P0004788		XLOC_005870		ENST00000417838
A_24_P578571	NM_207410	GFRAL	GDNF family receptor alpha like	ENST00000340465
A_24_P303974	NM_006023	CDC123	cell division cycle 123 homolog (S. cerevisiae)	ENST00000378900
A_21_P0009919		XLOC_013817		ENST00000441277
A_33_P3308914	NM_006383	CIB2	calcium and integrin binding family member 2	ENST00000539011
A_21_P0001366		XLOC_000358		
A_33_P3292218				
A_24_P226962	NM_001080398	KIAA0368	KIAA0368	ENST00000338205
A_23_P500381	NM_019859	HTR7	5-hydroxytryptamine (serotonin) receptor 7 (adenylate cyclase-coupled)	ENST00000336152
A_23_P208540	NM_004542	NDUFA3	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa	ENST00000484103
A_23_P4919	NM_006801	KDELR1	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	ENST00000330720
A_23_P394064	NM_012232	PTRF	polymerase I and transcript release factor	ENST00000357037
A_19_P00322220	NR_027241	LOC388796	uncharacterized LOC388796	
A_32_P182473	NM_145233	ZNF625	zinc finger protein 625	
A_33_P3319134	XM_003118995	LOC100506191	uncharacterized protein LOC100506191	
A_33_P3227616				ENST00000508547
A_21_P0008577		XLOC_011482		
A_33_P3380642		FRAS1	Fraser syndrome 1	ENST00000264899
A_23_P24723	NM_016464	TMEM138	transmembrane protein 138	ENST00000545420
A_33_P3384913				
A_33_P3376518				ENST00000415156
A_23_P379657	NM_152489	UBE2U	ubiquitin-conjugating enzyme E2U (putative)	ENST00000464349
A_33_P3337144	NM_001033723	ZNF704	zinc finger protein 704	ENST00000327835
A_23_P164100	NM_181707	C17orf64	chromosome 17 open reading frame 64	ENST00000269127
A_32_P180741	NM_001010938	TNK2	tyrosine kinase, non-receptor, 2	ENST00000430929
A_33_P3223739	NM_012363	OR1N1	olfactory receptor, family 1, subfamily N, member 1	ENST00000304880
A_23_P64121	NM_012194	C11orf41	chromosome 11 open reading frame 41	ENST00000321505
A_33_P3259705		SIGIRR	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain	ENST00000382520
A_21_P0011159		XLOC_l2_003843		
A_21_P0012160		XLOC_l2_008755		ENST00000445589
A_33_P3316394	NM_001098491	ZNF419	zinc finger protein 419	
A_23_P392476	NM_001145128	AKD1	adenylate kinase domain containing 1	ENST00000424296
A_21_P0004849		XLOC_005193		
A_24_P332471				
A_23_P209735	NM_025139	ARMC9	armadillo repeat containing 9	ENST00000349938
A_21_P0006733		XLOC_008721		ENST00000457632
A_23_P78571	NM_144613	COX6B2	cytochrome c oxidase subunit VIb polypeptide 2 (testis)	ENST00000326529
A_33_P3261505	NM_020964	EPG5	ectopic P-granules autophagy protein 5 homolog (C. elegans)	ENST00000540322
A_33_P3338484				
A_23_P331943	NM_020823	TMEM181	transmembrane protein 181	ENST00000367090
A_21_P0011049		XLOC_l2_003050		
A_23_P21057	NM_052838	SEPT1	septin 1	ENST00000321367
A_23_P167298	NM_032149	C4orf17	chromosome 4 open reading frame 17	ENST00000477187
A_21_P0008253		XLOC_010588		
A_21_P0008335		XLOC_010828		ENST00000553312
A_33_P3413741	NM_000916	OXTR	oxytocin receptor	ENST00000316793
A_33_P3369964	NR_024612	ATXN1L	ataxin 1-like	
A_21_P0008027		XLOC_010300		
A_19_P00803201		Q958C4		
A_33_P3406806	NM_001190460	KRTAP9-1	keratin associated protein 9-1	ENST00000398470
A_23_P92082	NM_001064	TKT	transketolase	ENST00000469678
A_21_P0010596		XLOC_l2_000735		
A_33_P3302563		LOC100129408	uncharacterized LOC100129408	
A_23_P48610	NM_144568	TMEM55B	transmembrane protein 55B	ENST00000557041
A_33_P3411427	NM_001129730	ZNF837	zinc finger protein 837	ENST00000427624
A_33_P3773168	NR_027115	LOC285768	uncharacterized LOC285768	
A_24_P364236	NM_004549	NDUFC2	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa	ENST00000281031
A_21_P0003070		XLOC_002952		
A_21_P0007004		XLOC_008855		
A_23_P133359	NM_030613	ZFP2	zinc finger protein 2 homolog (mouse)	ENST00000523286
A_21_P0003643		XLOC_003666		
A_23_P356646	NM_001190825	MAFIP	MAFF interacting protein	ENST00000400840
A_21_P0006897		XLOC_008567		
A_33_P3323068	NM_020133	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)	ENST00000366905
A_23_P36322	NM_001567	INPPL1	inositol polyphosphate phosphatase-like 1	ENST00000298229
A_33_P3227716	NM_001037666	GATSL3	GATS protein-like 3	ENST00000407689
A_21_P0007173		XLOC_009062		ENST00000532365
A_21_P0014872	XR_132769	LOC100505923	uncharacterized LOC100505923	
A_32_P101570	NR_038258	LOC100616668	TPTE2 pseudogene	
A_33_P3329552				
A_21_P0010014		XLOC_013683		
A_23_P7655	NM_013978	BNIP1	BCL2/adenovirus E1B 19kDa interacting protein 1	
A_23_P91430	NM_007238	PXMP4	peroxisomal membrane protein 4, 24kDa	ENST00000344022
A_33_P3404601	NM_001178063	C2	complement component 2	ENST00000460487
A_24_P393611	NM_138736	GNAO1	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O	ENST00000262494
A_19_P00316911		XLOC_001688		ENST00000453636
A_23_P43846	NM_001040442	FABP6	fatty acid binding protein 6, ileal	ENST00000523955
A_23_P65455	NM_017815	HAUS4	HAUS augmin-like complex, subunit 4	ENST00000554406
A_33_P3324149				
A_21_P0009485		XLOC_012688		
A_33_P3409655				ENST00000492731
A_21_P0008479		XLOC_011110		
A_32_P199462	NM_001099334	C2orf80	chromosome 2 open reading frame 80	ENST00000341287
A_33_P3371984	NM_205833	IGSF1	immunoglobulin superfamily, member 1	ENST00000370901
A_21_P0004525		XLOC_004517		
A_21_P0004524		XLOC_004517		
A_24_P108863	NM_001037540	SCML1	sex comb on midleg-like 1 (Drosophila)	
A_21_P0011251		XLOC_l2_004213		
A_21_P0000250	NR_002448	SNORD36A	small nucleolar RNA, C/D box 36A	ENST00000463740
A_33_P3280945	NR_036473	SNHG3	small nucleolar RNA host gene 3 (non-protein coding)	ENST00000437681
A_21_P0009790		XLOC_013095		
A_21_P0003798		XLOC_004166		
A_33_P3306063				
A_23_P340149	NM_021998	ZNF711	zinc finger protein 711	ENST00000276123
A_23_P53276	NM_003920	TIMELESS	timeless homolog (Drosophila)	ENST00000557589
A_21_P0014247	XR_109012	LOC100507309	uncharacterized LOC100507309	
A_21_P0000577	NR_029378	LOC100289511	uncharacterized LOC100289511	
A_23_P129835	NM_032192	PPP1R1B	protein phosphatase 1, regulatory (inhibitor) subunit 1B	ENST00000466381
A_21_P0011718	NM_001193628	LOC147670	uncharacterized LOC147670	
A_21_P0007913		XLOC_010553		ENST00000413591
A_33_P3356290	NM_183393	CADPS	Ca++-dependent secretion activator	ENST00000283269
A_33_P3390367	NR_026995	LOC91149	uncharacterized LOC91149	
A_23_P146379	NM_012416	RANBP6	RAN binding protein 6	ENST00000259569
A_24_P264063	XR_110528	LOC729173	uncharacterized LOC729173	ENST00000319763
A_21_P0012197		XLOC_l2_009182		
A_23_P10591	NM_001004431	METRNL	meteorin, glial cell differentiation regulator-like	ENST00000320095
A_23_P170186	NM_017570	OPLAH	5-oxoprolinase (ATP-hydrolysing)	ENST00000426825
A_24_P116351	NM_006427	SIVA1	SIVA1, apoptosis-inducing factor	ENST00000329967
A_33_P3239222	NM_001037283	EIF3B	eukaryotic translation initiation factor 3, subunit B	ENST00000314800
A_23_P53467	NM_201612	IKBIP	IKBKB interacting protein	ENST00000342502
A_19_P00805625		LOC100506190	uncharacterized LOC100506190	
A_33_P3295278	NM_001136508	C1orf185	chromosome 1 open reading frame 185	ENST00000371759
A_33_P3322664				ENST00000318244
A_23_P319492	NM_024556	FAM118B	family with sequence similarity 118, member B	ENST00000531935
A_21_P0007204		XLOC_009120		ENST00000524565
A_24_P450285	NM_001145018	CCDC153	coiled-coil domain containing 153	ENST00000415318
A_33_P3276364		HSD17B7	hydroxysteroid (17-beta) dehydrogenase 7	ENST00000367913
A_23_P68059	NM_032673	PCGF1	polycomb group ring finger 1	ENST00000463744
A_33_P3325502	NM_004815	ARHGAP29	Rho GTPase activating protein 29	
A_21_P0004187		XLOC_005056		
A_33_P3322383				ENST00000557761
A_21_P0012166		XLOC_l2_008910		
A_21_P0005635		XLOC_006936		ENST00000505083
A_32_P112493	NM_138370	PKDCC	protein kinase domain containing, cytoplasmic homolog (mouse)	ENST00000480099
A_21_P0005085		XLOC_005917		
A_23_P18372	NM_032047	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	ENST00000326505
A_33_P3395733	XR_132803			ENST00000421616
A_33_P3392977	NM_012142	CCNDBP1	cyclin D-type binding-protein 1	ENST00000356633
A_33_P3294764	NR_027252	CYP1B1-AS1	CYP1B1 antisense RNA 1 (non-protein coding)	ENST00000413828
A_21_P0001436		XLOC_000616		
A_33_P3329149	NM_031267	CDK13	cyclin-dependent kinase 13	ENST00000340829
A_24_P363745	NM_014665	LRRC14	leucine rich repeat containing 14	ENST00000292524
A_33_P3397840		WIPF3	WAS/WASL interacting protein family, member 3	ENST00000242140
A_33_P3241150				ENST00000555109
A_21_P0000754	NR_038290	LOC100507091	uncharacterized LOC100507091	
A_21_P0014912	XR_133002	LOC100653221	uncharacterized LOC100653221	
A_23_P131299	NM_138802	ZFAND2B	zinc finger, AN1-type domain 2B	ENST00000489197
A_24_P14531	NM_014742	TM9SF4	transmembrane 9 superfamily protein member 4	ENST00000398022
A_33_P3412900	NM_001039771	CBLN3	cerebellin 3 precursor	ENST00000267406
A_21_P0002815		XLOC_002950		ENST00000451348
A_32_P73452	NM_020959	ANO8	anoctamin 8	ENST00000159087
A_21_P0001238		XLOC_001257		ENST00000450783
A_23_P3212	NM_020234	DTWD1	DTW domain containing 1	ENST00000403028
A_33_P3286774		PDE4DIP	phosphodiesterase 4D interacting protein	ENST00000479369
A_33_P3226643	NM_001077198	ATG9A	ATG9 autophagy related 9 homolog A (S. cerevisiae)	ENST00000409422
A_33_P3370612				
A_23_P140170	NM_006364	SEC23A	Sec23 homolog A (S. cerevisiae)	ENST00000307712
A_21_P0010364		XLOC_014257		ENST00000428765
A_21_P0001958		XLOC_001826		ENST00000440326
A_24_P406830	NM_201278	MTMR2	myotubularin related protein 2	
A_21_P0013207		XLOC_l2_013434		
A_24_P349743	NM_002295	RPSA	ribosomal protein SA	
A_19_P00322645	XR_110237	LOC283588	uncharacterized LOC283588	
A_33_P3570228		LOC644962	trinucleotide repeat containing 18 pseudogene	
A_32_P163739	NM_020741	KIAA1257	KIAA1257	ENST00000510149
A_33_P3610123	NM_015425	POLR1A	polymerase (RNA) I polypeptide A, 194kDa	ENST00000263857
A_24_P151032	NM_002476	MYL4	myosin, light chain 4, alkali; atrial, embryonic	ENST00000354968
A_23_P212639	NM_004593	TRA2B	transformer 2 beta homolog (Drosophila)	ENST00000456380
A_33_P3353425	NM_020935	USP37	ubiquitin specific peptidase 37	ENST00000478329
A_21_P0010921		XLOC_l2_001592		ENST00000438010
A_23_P47019	NM_004190	LIPF	lipase, gastric	
A_33_P3373046	NM_001024596	ZNF772	zinc finger protein 772	ENST00000291809
A_33_P3216933	NM_015191	SIK2	salt-inducible kinase 2	
A_33_P3307088				
A_19_P00315967		XLOC_011803		
A_21_P0013394		XLOC_l2_013513		ENST00000438538
A_33_P3271126				
A_21_P0014068	XR_108334	LOC100506823	uncharacterized LOC100506823	
A_33_P3816280	NR_038438	LOC146513	uncharacterized LOC146513	
A_21_P0007078		XLOC_008614		
A_21_P0010057		XLOC_013792		
A_33_P3418617	NR_033579	LOC440297	chondroitin sulfate proteoglycan 4 pseudogene	ENST00000456932
A_21_P0008448		XLOC_011052		
A_23_P410717	NM_144697	C1orf51	chromosome 1 open reading frame 51	ENST00000290363
A_33_P3350892	XR_132727	LOC651337	uncharacterized LOC651337	
A_21_P0014138	XR_108558	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	ENST00000511639
A_33_P3329352				
A_33_P3220698	NM_133180	EPS8L1	EPS8-like 1	ENST00000201647
A_32_P20691	NM_003992	CLK3	CDC-like kinase 3	ENST00000352989
A_21_P0012047		XLOC_l2_007831		
A_21_P0014277	XR_109095	LOC100506606		ENST00000553105
A_33_P3296205	NM_183422	TSC22D1	TSC22 domain family, member 1	
A_23_P98631	NM_181507	HPS5	Hermansky-Pudlak syndrome 5	ENST00000349215
A_32_P148824	NM_017847	C1orf27	chromosome 1 open reading frame 27	ENST00000367470
A_21_P0011514	NM_001190790	CDRT15L2	CMT1A duplicated region transcript 15-like 2	ENST00000399044
A_33_P3233030				
A_23_P216610	NM_022486	SUSD1	sushi domain containing 1	ENST00000374270
A_21_P0012220		XLOC_l2_009136		ENST00000429521
A_23_P140978	NM_005741	ZNF263	zinc finger protein 263	ENST00000538765
A_24_P95723	NR_026800	KIAA0125	KIAA0125	
A_33_P3251860				
A_21_P0000134	NM_001197020	PRSS55	protease, serine, 55	ENST00000522210
A_23_P200404	NM_001625	AK2	adenylate kinase 2	ENST00000354858
A_19_P00318938		XLOC_002569		
A_21_P0007672		XLOC_009958		
A_24_P415601	NM_002939	RNH1	ribonuclease/angiogenin inhibitor 1	
A_33_P3299160	NR_033889	LOC440131	uncharacterized LOC440131	ENST00000400540
A_24_P116669	NM_138793	CANT1	calcium activated nucleotidase 1	ENST00000537282
A_33_P3397318				
A_33_P3407895	NM_001195833	RINL	Ras and Rab interactor-like	ENST00000536520
A_23_P415791	NM_020721	KIAA1210	KIAA1210	ENST00000402510
A_23_P162037	NM_001030273	ARNTL	aryl hydrocarbon receptor nuclear translocator-like	ENST00000389708
A_21_P0004136		XLOC_004859		ENST00000515199
A_32_P101352	NM_001025265	CXorf65	chromosome X open reading frame 65	ENST00000438526
A_33_P3225313	NM_144963	FAM91A1	family with sequence similarity 91, member A1	ENST00000519721
A_33_P3277752	NM_144994	ANKRD23	ankyrin repeat domain 23	ENST00000462692
A_23_P165598	NM_001017920	DAPL1	death associated protein-like 1	ENST00000309950
A_21_P0011178		XLOC_l2_003897		
A_24_P682579				
A_33_P3217332	NM_031218	ZNF93	zinc finger protein 93	ENST00000343769
A_21_P0007344		XLOC_009421		ENST00000526978
A_33_P3311755	NM_138555	KIF23	kinesin family member 23	ENST00000395392
A_23_P95851	NM_024803	TUBAL3	tubulin, alpha-like 3	ENST00000380419
A_32_P90210	NM_001015892	TAF9	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa	ENST00000217893
A_21_P0010710	NR_024604	CLCA3P	chloride channel accessory 3, pseudogene	ENST00000284054
A_33_P3351624	NM_017433	MYO3A	myosin IIIA	ENST00000376301
A_23_P166	NM_145279	MOB3C	MOB kinase activator 3C	ENST00000371940
A_23_P408830	NM_172215	CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta	ENST00000446440
A_23_P500998	NM_152739	HOXA9	homeobox A9	ENST00000242050
A_23_P25566	NM_004951	GPR183	G protein-coupled receptor 183	ENST00000376414
A_24_P237613	NM_182488	USP12	ubiquitin specific peptidase 12	ENST00000282344
A_33_P3504522	NR_027255	AATK-AS1	AATK antisense RNA 1 (non-protein coding)	ENST00000414089
A_33_P3234303		PAX6	paired box 6	ENST00000379123
A_23_P214587	NM_003449	TRIM26	tripartite motif containing 26	ENST00000327357
A_23_P383435	NM_004773	ZNHIT3	zinc finger, HIT-type containing 3	ENST00000225410
A_33_P3775007	NM_001247996	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	ENST00000518721
A_24_P242820	NM_004622	TSN	translin	ENST00000490104
A_24_P743907	NM_012062	DNM1L	dynamin 1-like	ENST00000452533
A_21_P0011873		XLOC_l2_007767		
A_21_P0008832		XLOC_011305		
A_21_P0014857	XR_132744	LOC100506276	uncharacterized LOC100506276	ENST00000414610
A_24_P605190	NM_005023	PGGT1B	protein geranylgeranyltransferase type I, beta subunit	ENST00000419445
A_21_P0014934	NR_045375	LOC100506124	uncharacterized LOC100506124	ENST00000536175
A_33_P3569068	NM_003550	MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast)	ENST00000265854
A_21_P0005598	XR_108752	LOC100506236	uncharacterized LOC100506236	
A_33_P3229196	NM_004357	CD151	CD151 molecule (Raph blood group)	
A_21_P0011664	NR_027417	LOC644669	ankyrin repeat domain 30B pseudogene	ENST00000455308
A_32_P1445	NM_080423	PTPN2	protein tyrosine phosphatase, non-receptor type 2	ENST00000353319
A_21_P0012262		XLOC_l2_009331		
A_21_P0005565		XLOC_006132		
A_21_P0009886		XLOC_013674		ENST00000417696
A_33_P3238596				ENST00000445098
A_24_P14464	NM_006103	WFDC2	WAP four-disulfide core domain 2	ENST00000372676
A_24_P355626	NM_022169	ABCG4	ATP-binding cassette, sub-family G (WHITE), member 4	ENST00000307417
A_33_P3456233				ENST00000450304
A_32_P202013	NM_001039762	FAM196A	family with sequence similarity 196, member A	ENST00000522781
A_24_P339944	NM_002608	PDGFB	platelet-derived growth factor beta polypeptide	ENST00000331163
A_33_P3215635	NM_000748	CHRNB2	cholinergic receptor, nicotinic, beta 2 (neuronal)	ENST00000368476
A_24_P321626	NM_018082	POLR3B	polymerase (RNA) III (DNA directed) polypeptide B	ENST00000228347
A_24_P156886	NM_001031725	DDX59	DEAD (Asp-Glu-Ala-Asp) box polypeptide 59	ENST00000367348
A_21_P0003495		XLOC_004051		ENST00000416680
A_21_P0012044		XLOC_l2_007783		
A_33_P3323298	NM_002228	JUN	jun proto-oncogene	ENST00000371222
A_23_P100704	NM_139033	MAPK7	mitogen-activated protein kinase 7	
A_23_P209700	NM_006056	NMUR1	neuromedin U receptor 1	ENST00000305141
A_21_P0011985		XLOC_l2_008405		
A_21_P0013641		XLOC_l2_015201		
A_21_P0011451	NR_040023	ERVK13-1	endogenous retrovirus group K13, member 1	
A_33_P3380867	NM_012448	STAT5B	signal transducer and activator of transcription 5B	ENST00000293328
A_19_P00319532		P51957		
A_19_P00811430		XLOC_011183		
A_21_P0004496		XLOC_004325		
A_33_P3414192	NM_001206572	SORCS1	sortilin-related VPS10 domain containing receptor 1	
A_23_P40096	NM_000312	PROC	protein C (inactivator of coagulation factors Va and VIIIa)	ENST00000453608
A_21_P0004821	XR_132522	LOC100508120	uncharacterized LOC100508120	
A_24_P321766	NM_000624	SERPINA5	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5	ENST00000537685
A_21_P0011969		XLOC_l2_008275		
A_23_P69637	NM_017493	OTUD4	OTU domain containing 4	ENST00000296579
A_33_P3337554	NM_001163993	ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	ENST00000406935
A_21_P0004278		XLOC_004471		ENST00000511323
A_33_P3410225				
A_21_P0004739		XLOC_005640		ENST00000427775
A_23_P41327	NM_017816	LYAR	Ly1 antibody reactive homolog (mouse)	ENST00000452476
A_21_P0000699	NR_037883	LOC100506421	uncharacterized LOC100506421	
A_23_P218058	NM_013431	KLRC4	killer cell lectin-like receptor subfamily C, member 4	ENST00000309384
A_33_P3290343	NM_000104	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	ENST00000407341
A_24_P322354	NM_001039535	SKA1	spindle and kinetochore associated complex subunit 1	ENST00000398452
A_32_P812268	NM_001001412	CALHM1	calcium homeostasis modulator 1	ENST00000329905
A_32_P165116	NM_138458	WDR92	WD repeat domain 92	ENST00000406334
A_33_P3383246	NM_001005177	OR52R1	olfactory receptor, family 52, subfamily R, member 1	ENST00000356069
A_33_P3459345	NR_033960	LOC442497	uncharacterized LOC442497	
A_23_P129085	NM_145658	SPESP1	sperm equatorial segment protein 1	ENST00000310673
A_33_P3229789				ENST00000376271
A_21_P0011998		XLOC_l2_007186		
A_21_P0003310		XLOC_003358		
A_23_P144369	NM_153757	NAP1L5	nucleosome assembly protein 1-like 5	ENST00000539293
A_21_P0013047	NR_040022	LOC100289495	uncharacterized LOC100289495	
A_23_P9485	NM_000608	ORM2	orosomucoid 2	ENST00000412657
A_33_P3348574	NM_001013358	OR9G9	olfactory receptor, family 9, subfamily G, member 9	
A_33_P3252093	NM_006827	TMED10	transmembrane emp24-like trafficking protein 10 (yeast)	ENST00000303575
A_19_P00316242		Q9B8G3		ENST00000504068
A_33_P3374778	NR_036534	FLJ36644	uncharacterized LOC400617	
A_19_P00319376	NR_015439	LOC550112	uncharacterized LOC550112	
A_21_P0012766	NM_058187	C21orf63	chromosome 21 open reading frame 63	ENST00000514073
A_32_P200237		LOC157740	uncharacterized protein C8orf9	
A_33_P3780311	NR_030727	TLR8-AS1	TLR8 antisense RNA 1 (non-protein coding)	ENST00000451564
A_21_P0005441		XLOC_006291		
A_21_P0000746	NR_038273	LOC100506874	uncharacterized LOC100506874	
A_21_P0013006		XLOC_l2_012238		ENST00000514282
A_33_P3249291	NM_173615	VWA3A	von Willebrand factor A domain containing 3A	ENST00000310694
A_23_P87036	NM_000482	APOA4	apolipoprotein A-IV	ENST00000357780
A_33_P3353051	NM_001040438	C6orf48	chromosome 6 open reading frame 48	ENST00000375636
A_21_P0009418		XLOC_012579		
A_21_P0006210		XLOC_007514		
A_33_P3279847	NM_139165	RAET1E	retinoic acid early transcript 1E	ENST00000367363
A_19_P00321332	NR_028272	NEAT1	nuclear paraspeckle assembly transcript 1 (non-protein coding)	
A_23_P356122	NM_001031623	ZNF451	zinc finger protein 451	ENST00000357489
A_33_P3342780	NM_139026	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif, 13	
A_21_P0002001		XLOC_001958		ENST00000420221
A_24_P199929	NM_016516	VPS54	vacuolar protein sorting 54 homolog (S. cerevisiae)	ENST00000394400
A_24_P541831	NR_026793	LINC00264	long intergenic non-protein coding RNA 264	ENST00000412114
A_21_P0006957		XLOC_008704		
A_33_P3227217	NR_002989	SNORA81	small nucleolar RNA, H/ACA box 81	ENST00000475409
A_33_P3304908		WASH3P	WAS protein family homolog 3 pseudogene	
A_21_P0005429		XLOC_006248		
A_21_P0002749		XLOC_002696		
A_19_P00318323	NR_015410	LINC00340	long intergenic non-protein coding RNA 340	
A_23_P421526	NM_153007	ODF4	outer dense fiber of sperm tails 4	ENST00000328248
