ID	REFSEQ	GENE_SYMBOL	GENE_NAME	ENSEMBL_ID	ENSEMBL_GENE_ID	ENTREZ_ID
A_33_P3209537	NM_001110514	EBF4	early B-cell factor 4	ENST00000342725	NA	NA
A_21_P0014610	XR_110521	LOC100506941	uncharacterized LOC100506941	NA	NA	NA
A_21_P0001090	NA	XLOC_000681	NA	ENST00000429389	ENSG00000231630	NA
A_23_P6490	NM_015088	TNRC6B	trinucleotide repeat containing 6B	ENST00000402203	ENSG00000100354	23112
A_33_P3342375	NM_175868	MAGEA6	melanoma antigen family A, 6	ENST00000393902	NA	NA
A_33_P3383988	NA	NA	NA	ENST00000390441	ENSG00000211793	NA
A_32_P178499	NM_001012984	C16orf86	chromosome 16 open reading frame 86	ENST00000459925	ENSG00000159761	388284
A_33_P3360718	NM_001114091	CDC27	cell division cycle 27 homolog (S. cerevisiae)	ENST00000527547	ENSG00000004897	996
A_33_P3336387	NM_207128	PAOX	polyamine oxidase (exo-N4-amino)	ENST00000368539	NA	NA
A_33_P3262074	NA	NA	NA	NA	NA	NA
A_23_P71073	NM_000474	TWIST1	twist homolog 1 (Drosophila)	ENST00000242261	ENSG00000122691	7291
A_23_P385690	NM_033131	WNT3A	wingless-type MMTV integration site family, member 3A	ENST00000284523	ENSG00000154342	89780
A_21_P0011455	NA	XLOC_l2_005393	NA	NA	NA	NA
A_33_P3812815	NM_000296	PKD1	polycystic kidney disease 1 (autosomal dominant)	ENST00000537889	ENSG00000183458	NA
A_21_P0014461	XR_109940	LOC100506934	uncharacterized LOC100506934	NA	NA	NA
A_33_P3326992	NM_001198834	PDE4DIP	phosphodiesterase 4D interacting protein	ENST00000369353	NA	NA
A_23_P121614	NM_152291	MUC7	mucin 7, secreted	ENST00000413702	ENSG00000171195	4589
A_33_P3358905	NA	NA	NA	NA	NA	NA
A_23_P501745	NM_153818	PEX10	peroxisomal biogenesis factor 10	ENST00000447513	ENSG00000157911	5192
A_33_P3221783	NM_033035	TSLP	thymic stromal lymphopoietin	NA	NA	NA
A_23_P218597	NM_002518	NPAS2	neuronal PAS domain protein 2	ENST00000474550	ENSG00000170485	4862
A_33_P3217834	NM_014140	SMARCAL1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a-like 1	ENST00000358207	ENSG00000138375	50485
A_21_P0000326	NR_002971	SNORA38	small nucleolar RNA, H/ACA box 38	NA	NA	NA
A_24_P170753	NA	NA	NA	ENST00000443539	ENSG00000185684	NA
A_21_P0014310	XR_109239	GS52	uncharacterized LOC100287301	NA	NA	NA
A_23_P30900	NA	NA	NA	ENST00000552745	ENSG00000257473	3117
A_21_P0013246	NM_030570	UPK3B	uroplakin 3B	ENST00000490360	ENSG00000243566	105375355
A_23_P217379	NM_033641	COL4A6	collagen, type IV, alpha 6	ENST00000394872	ENSG00000197565	1288
A_23_P414281	NM_139170	C16orf71	chromosome 16 open reading frame 71	ENST00000411541	NA	NA
A_33_P3261167	NM_002076	GNS	glucosamine (N-acetyl)-6-sulfatase	ENST00000418919	ENSG00000135677	2799
A_23_P217528	NM_007250	KLF8	Kruppel-like factor 8	ENST00000358094	ENSG00000102349	11279
A_21_P0003050	NA	XLOC_002890	NA	NA	NA	NA
A_21_P0014432	XR_109753	LOC100507599	uncharacterized LOC100507599	NA	NA	NA
A_33_P3280094	NM_024036	LRFN4	leucine rich repeat and fibronectin type III domain containing 4	ENST00000309602	ENSG00000173621	78999
A_21_P0000327	NR_002972	SNORA39	small nucleolar RNA, H/ACA box 39	NA	NA	NA
A_33_P3409493	XM_001722643	LOC285095	uncharacterized LOC285095	ENST00000404031	ENSG00000216921	NA
A_21_P0012552	NA	XLOC_l2_010382	NA	ENST00000482639	ENSG00000240216	NA
A_33_P3414022	NA	NA	NA	NA	NA	NA
A_21_P0006901	NA	XLOC_008577	NA	NA	NA	NA
A_23_P251095	NM_000284	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1	NA	NA	NA
A_21_P0005469	NA	XLOC_006350	NA	NA	NA	NA
A_32_P711043	NA	NA	NA	ENST00000326348	NA	NA
A_23_P500000	NM_144777	SCEL	sciellin	ENST00000349847	ENSG00000136155	8796
A_33_P3271284	NM_080616	C20orf112	chromosome 20 open reading frame 112	ENST00000397984	NA	NA
A_32_P51787	NA	NA	NA	NA	NA	NA
A_33_P3384695	NA	NCALD	neurocalcin delta	NA	NA	NA
A_33_P3419945	NA	NA	NA	NA	NA	NA
A_32_P160045	NM_152665	TCTEX1D1	Tctex1 domain containing 1	ENST00000282670	ENSG00000152760	200132
A_33_P3332393	NA	TMEM53	transmembrane protein 53	ENST00000372244	ENSG00000126106	79639
A_33_P3373375	NM_004356	CD81	CD81 molecule	ENST00000468153	ENSG00000110651	975
A_23_P318581	NM_020827	KIAA1430	KIAA1430	NA	NA	NA
A_23_P13929	NM_031474	NRIP2	nuclear receptor interacting protein 2	ENST00000546074	NA	NA
A_33_P3402763	NM_032390	MKI67IP	MKI67 (FHA domain) interacting nucleolar phosphoprotein	ENST00000285814	ENSG00000155438	84365
A_23_P50710	NM_001082	CYP4F2	cytochrome P450, family 4, subfamily F, polypeptide 2	ENST00000011989	ENSG00000186115	8529
A_23_P216052	NM_032899	FAM83A	family with sequence similarity 83, member A	ENST00000318462	NA	NA
A_32_P57160	NR_026803	FAM74A1	family with sequence similarity 74, member A1	NA	NA	NA
A_33_P3336627	NM_001001953	OR10G9	olfactory receptor, family 10, subfamily G, member 9	ENST00000375024	ENSG00000236981	219870
A_23_P428329	NM_178161	PTF1A	pancreas specific transcription factor, 1a	ENST00000376504	ENSG00000168267	256297
A_21_P0014413	XR_109666	LOC100506284	uncharacterized LOC100506284	NA	NA	NA
A_24_P55465	NM_145808	MTPN	myotrophin	ENST00000393085	ENSG00000105887	136319
A_33_P3373459	NM_018641	CHST12	carbohydrate (chondroitin 4) sulfotransferase 12	ENST00000258711	ENSG00000136213	55501
A_33_P3375528	NM_152622	MIER3	mesoderm induction early response 1, family member 3	ENST00000451637	ENSG00000155545	166968
A_33_P3252196	NM_004456	EZH2	enhancer of zeste homolog 2 (Drosophila)	NA	NA	NA
A_21_P0007960	NA	XLOC_010477	NA	ENST00000434547	ENSG00000224418	NA
A_21_P0009370	NA	XLOC_012592	NA	NA	NA	NA
A_24_P59459	NA	PIEZO2	piezo-type mechanosensitive ion channel component 2	NA	NA	NA
A_33_P3229221	NA	TRAPPC3	trafficking protein particle complex 3	ENST00000373159	ENSG00000054116	27095
A_24_P182281	NM_001036646	HHLA3	HERV-H LTR-associating 3	NA	NA	NA
A_19_P00322531	NR_034105	CRNDE	NA	NA	NA	NA
A_33_P3416767	NM_032711	MAFG	v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)	ENST00000357736	ENSG00000197063	4097
A_21_P0002277	NA	XLOC_001640	NA	NA	NA	NA
A_21_P0000485	NR_003943	SNORD77	small nucleolar RNA, C/D box 77	NA	NA	NA
A_21_P0010600	NR_026752	CROCCP2	ciliary rootlet coiled-coil, rootletin pseudogene 2	NA	NA	NA
A_19_P00322036	NA	XLOC_009868	NA	NA	NA	NA
A_33_P3262156	NM_021097	SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1	NA	NA	NA
A_23_P159952	NM_018476	BEX1	brain expressed, X-linked 1	ENST00000372728	ENSG00000133169	55859
A_33_P3338550	NA	NA	NA	ENST00000525429	ENSG00000255475	NA
A_33_P3261132	NR_001560	CYCSP52	cytochrome c, somatic pseudogene 52	NA	NA	NA
A_21_P0000630	NR_034079	LOC643733	caspase 4, apoptosis-related cysteine peptidase pseudogene	ENST00000527637	ENSG00000235505	NA
A_23_P62173	NM_031274	TEX13A	testis expressed 13A	ENST00000413579	NA	NA
A_21_P0011615	NR_002710	ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2	NA	NA	NA
A_33_P3328928	NM_017593	BMP2K	BMP2 inducible kinase	ENST00000264889	NA	NA
A_21_P0003054	NA	XLOC_002900	NA	NA	NA	NA
A_33_P3339397	NM_015677	SH3YL1	SH3 domain containing, Ysc84-like 1 (S. cerevisiae)	ENST00000403657	ENSG00000035115	26751
A_33_P3417318	XR_110103	NA	NA	ENST00000397313	NA	NA
A_33_P3413855	NM_152556	C7orf60	chromosome 7 open reading frame 60	ENST00000358032	NA	NA
A_33_P3216232	NM_004763	ITGB1BP1	integrin beta 1 binding protein 1	ENST00000483795	ENSG00000119185	9270
A_33_P3250018	NM_013320	HCFC2	host cell factor C2	ENST00000544223	ENSG00000111727	29915
A_33_P3307144	NM_021956	GRIK2	glutamate receptor, ionotropic, kainate 2	ENST00000487161	ENSG00000164418	2898
A_23_P90944	NM_002976	SCN7A	sodium channel, voltage-gated, type VII, alpha	ENST00000424326	ENSG00000136546	6332
A_23_P5945	NM_021931	DHX35	DEAH (Asp-Glu-Ala-His) box polypeptide 35	ENST00000373321	NA	NA
A_33_P3376745	NA	NA	NA	NA	NA	NA
A_32_P52816	NM_016551	TM7SF3	transmembrane 7 superfamily member 3	NA	NA	NA
A_23_P36689	NM_006992	LRRC23	leucine rich repeat containing 23	ENST00000486401	ENSG00000010626	10233
A_19_P00315790	NR_034007	LOC339894	uncharacterized LOC339894	ENST00000471357	ENSG00000243629	NA
A_33_P3239195	NA	NA	NA	NA	NA	NA
A_33_P3337584	NA	LOC283482	uncharacterized LOC283482	NA	NA	NA
A_19_P00317013	NA	Q6NT14	NA	NA	NA	NA
A_21_P0011678	NM_004077	CS	citrate synthase	ENST00000351328	ENSG00000062485	1431
A_33_P3259722	NM_032125	TMEM222	transmembrane protein 222	NA	NA	NA
A_33_P3217322	NA	NA	NA	ENST00000368586	ENSG00000171811	54777
A_21_P0003320	NA	XLOC_003738	NA	NA	NA	NA
A_21_P0010142	NA	XLOC_013872	NA	ENST00000416002	ENSG00000230233	NA
A_33_P3423931	NM_001001676	LCN9	lipocalin 9	ENST00000277526	ENSG00000148386	392399
A_23_P151179	NM_022895	C12orf43	chromosome 12 open reading frame 43	ENST00000288757	ENSG00000157895	64897
A_21_P0008911	NA	XLOC_011670	NA	NA	NA	NA
A_21_P0004014	NA	XLOC_004424	NA	ENST00000511174	ENSG00000251543	NA
A_23_P160297	NM_032884	C1orf94	chromosome 1 open reading frame 94	ENST00000488417	ENSG00000142698	84970
A_19_P00318113	NA	Q6NT14	NA	ENST00000503299	ENSG00000248176	NA
A_32_P130265	NM_014827	ZC3H11A	zinc finger CCCH-type containing 11A	ENST00000495527	ENSG00000058673	9877
A_24_P937325	NA	FGD4	FYVE, RhoGEF and PH domain containing 4	ENST00000395742	NA	NA
A_33_P3286036	NA	TMPRSS9	transmembrane protease, serine 9	ENST00000395264	ENSG00000178297	360200
A_21_P0014134	XR_108541	EVC	Ellis van Creveld syndrome	ENST00000382674	NA	NA
A_21_P0007571	NA	XLOC_009787	NA	ENST00000535058	ENSG00000255693	NA
A_33_P3281151	NM_003902	FUBP1	far upstream element (FUSE) binding protein 1	ENST00000370767	ENSG00000162613	8880
A_21_P0011089	XM_003119524	XLOC_l2_003293	NA	ENST00000520314	ENSG00000214776	NA
A_33_P3233749	XR_108302	LOC100128751	INM04	NA	NA	NA
A_21_P0003954	NA	XLOC_004266	NA	ENST00000513925	ENSG00000251371	NA
A_21_P0006695	NA	XLOC_008556	NA	ENST00000439157	NA	NA
A_33_P3297978	NM_004998	MYO1E	myosin IE	ENST00000288235	ENSG00000157483	4643
A_33_P3341007	NA	NA	NA	ENST00000548231	ENSG00000258010	NA
A_23_P141802	NM_001040147	SERPINB7	serpin peptidase inhibitor, clade B (ovalbumin), member 7	ENST00000540675	ENSG00000166396	8710
A_33_P3394965	NA	NA	NA	NA	NA	NA
A_33_P3351371	NM_031226	CYP19A1	cytochrome P450, family 19, subfamily A, polypeptide 1	ENST00000405011	ENSG00000137869	1588
A_24_P29975	NM_030978	ARPC5L	actin related protein 2/3 complex, subunit 5-like	ENST00000465124	ENSG00000136950	81873
A_24_P4816	NM_031412	GABARAPL1	GABA(A) receptor-associated protein like 1	ENST00000540424	ENSG00000139112	23710
A_21_P0006361	NA	XLOC_007486	NA	NA	NA	NA
A_33_P3768196	NR_027085	LOC284551	uncharacterized LOC284551	ENST00000412068	NA	NA
A_23_P39364	NM_004838	HOMER3	homer homolog 3 (Drosophila)	NA	NA	NA
A_33_P3238579	NA	NA	NA	NA	NA	NA
A_21_P0000373	NR_003044	SNORD50B	small nucleolar RNA, C/D box 50B	NA	NA	NA
A_24_P323628	NR_003572	RPL23AP53	ribosomal protein L23a pseudogene 53	ENST00000487264	ENSG00000286104	NA
A_23_P25073	NM_021821	MRPS35	mitochondrial ribosomal protein S35	ENST00000321446	NA	NA
A_33_P3213089	NA	NA	NA	NA	NA	NA
A_33_P3349045	NM_001008699	IL4R	interleukin 4 receptor	ENST00000380925	NA	NA
A_23_P101297	NM_012155	EML2	echinoderm microtubule associated protein like 2	NA	NA	NA
A_33_P3302245	NM_012109	TMEM59L	transmembrane protein 59-like	ENST00000262817	ENSG00000105696	25789
A_21_P0008055	NA	XLOC_010360	NA	NA	NA	NA
A_33_P3369991	NA	NA	NA	NA	NA	NA
A_23_P163059	NM_022495	C14orf135	chromosome 14 open reading frame 135	ENST00000404681	NA	NA
A_23_P70598	NM_018679	TCP11	t-complex 11 homolog (mouse)	ENST00000311875	ENSG00000124678	6954
A_33_P3223239	NM_138729	ST7L	suppression of tumorigenicity 7 like	ENST00000369668	NA	NA
A_23_P94434	NM_001039792	HRCT1	histidine rich carboxyl terminus 1	ENST00000354323	ENSG00000196196	646962
A_21_P0011625	NR_027418	LOC100499466	uncharacterized LOC100499466	NA	NA	NA
A_33_P3436935	NA	LOC284930	uncharacterized LOC284930	NA	NA	NA
A_33_P3568504	NA	PPP1R1C	protein phosphatase 1, regulatory (inhibitor) subunit 1C	ENST00000409702	ENSG00000150722	151242
A_21_P0009986	XR_109633	LOC100506470	uncharacterized LOC100506470	ENST00000441660	ENSG00000229606	NA
A_33_P3280074	NM_014619	GRIK4	glutamate receptor, ionotropic, kainate 4	NA	NA	NA
A_33_P3342081	NM_001198	PRDM1	PR domain containing 1, with ZNF domain	ENST00000369096	ENSG00000057657	639
A_21_P0001877	NA	XLOC_001523	NA	ENST00000452525	ENSG00000229229	NA
A_21_P0012739	XR_109834	LOC100507487	uncharacterized LOC100507487	NA	NA	NA
A_33_P3294583	NR_002799	LOC256880	uncharacterized LOC256880	NA	NA	NA
A_33_P3237664	NA	HDAC7	histone deacetylase 7	ENST00000459625	ENSG00000061273	51564
A_21_P0001361	NA	XLOC_000332	NA	NA	NA	NA
A_33_P3417650	NM_002776	KLK10	kallikrein-related peptidase 10	ENST00000309958	ENSG00000129451	5655
A_21_P0003554	NA	XLOC_004230	NA	ENST00000504057	ENSG00000249877	NA
A_23_P106042	NM_001037288	CMTM5	CKLF-like MARVEL transmembrane domain containing 5	ENST00000553750	ENSG00000166091	116173
A_21_P0011745	NR_038279	LOC100506930	uncharacterized LOC100506930	NA	NA	NA
A_21_P0011577	NM_002270	TNPO1	transportin 1	ENST00000396346	NA	NA
A_32_P103614	XR_109015	LOC100128511	uncharacterized LOC100128511	ENST00000417845	ENSG00000231920	NA
A_23_P139929	NM_006817	ERP29	endoplasmic reticulum protein 29	ENST00000455836	ENSG00000089248	10961
A_23_P126727	NM_024654	NOL9	nucleolar protein 9	ENST00000377705	ENSG00000162408	79707
A_33_P3359518	NM_001085487	MYSM1	Myb-like, SWIRM and MPN domains 1	ENST00000401044	ENSG00000162601	114803
A_33_P3279610	NM_005205	COX6A2	cytochrome c oxidase subunit VIa polypeptide 2	ENST00000287490	ENSG00000156885	1339
A_21_P0006657	NA	XLOC_008401	NA	ENST00000417542	ENSG00000226140	NA
A_33_P3386019	NA	NA	NA	NA	NA	NA
A_33_P3290610	NA	NA	NA	NA	NA	NA
A_23_P82334	NM_014251	SLC25A13	solute carrier family 25, member 13 (citrin)	ENST00000416240	ENSG00000004864	10165
A_33_P3270252	NM_001004450	OR1B1	olfactory receptor, family 1, subfamily B, member 1	ENST00000304833	NA	NA
A_21_P0014044	XM_003403734	LOC100653094	uncharacterized LOC100653094	NA	NA	NA
A_33_P3351999	NA	NA	NA	NA	NA	NA
A_24_P941376	NM_015428	ZNF473	zinc finger protein 473	ENST00000270617	ENSG00000142528	25888
A_21_P0010823	XM_003118994	LOC100505906	uncharacterized LOC100505906	NA	NA	NA
A_21_P0014036	XM_003403648	C12orf28	chromosome 12 open reading frame 28	ENST00000547771	ENSG00000166268	196446
A_33_P3403942	NM_080721	C20orf123	chromosome 20 open reading frame 123	ENST00000279028	ENSG00000149635	128506
A_21_P0011438	NA	XLOC_l2_005198	NA	NA	NA	NA
A_33_P3323760	NR_015447	LOC153684	uncharacterized LOC153684	NA	NA	NA
A_33_P3357609	NM_001160419	ZBP1	Z-DNA binding protein 1	ENST00000343535	NA	NA
A_21_P0003505	NA	XLOC_004078	NA	ENST00000510967	ENSG00000249463	NA
A_21_P0000345	NR_002993	SNORA35	small nucleolar RNA, H/ACA box 35	NA	NA	NA
A_33_P3273394	NA	NA	NA	NA	NA	NA
A_21_P0011593	NA	WDR55	WD repeat domain 55	ENST00000358337	ENSG00000120314	54853
A_32_P172848	NM_000167	GK	glycerol kinase	NA	NA	NA
A_32_P148122	NA	NA	NA	ENST00000390265	ENSG00000239975	NA
A_21_P0004402	NA	XLOC_004842	NA	NA	NA	NA
A_21_P0009777	XR_132661	XLOC_013429	NA	ENST00000444227	ENSG00000232098	NA
A_21_P0004171	NA	XLOC_004963	NA	ENST00000508636	ENSG00000249150	NA
A_33_P3225101	NA	NA	NA	NA	NA	NA
A_33_P3265205	NA	NA	NA	NA	NA	NA
A_23_P338505	NM_152266	C19orf40	chromosome 19 open reading frame 40	ENST00000254262	ENSG00000131944	91442
A_23_P151267	NM_016357	LIMA1	LIM domain and actin binding 1	NA	NA	NA
A_23_P366936	NM_173086	KRT6C	keratin 6C	ENST00000411979	NA	NA
A_33_P3418877	NR_004382	MESTIT1	MEST intronic transcript 1, antisense RNA (non-protein coding)	NA	NA	NA
A_19_P00315584	NR_026966	LOC100130691	uncharacterized LOC100130691	ENST00000430416	ENSG00000213963	NA
A_21_P0013503	NA	XLOC_l2_014372	NA	NA	NA	NA
A_33_P3381771	NM_024052	C17orf39	chromosome 17 open reading frame 39	ENST00000268719	ENSG00000141034	79018
A_33_P3365312	XM_931148	NA	NA	ENST00000452919	ENSG00000224318	NA
A_33_P3295523	NM_005052	RAC3	ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)	ENST00000306897	ENSG00000169750	5881
A_33_P3220056	NA	LOC730020	uncharacterized LOC730020	ENST00000413042	ENSG00000226816	NA
A_21_P0002780	NA	XLOC_002867	NA	ENST00000484046	ENSG00000240541	NA
A_21_P0012818	NA	XLOC_l2_011413	NA	ENST00000502952	ENSG00000250590	NA
A_24_P920188	NM_006965	ZNF24	zinc finger protein 24	ENST00000261332	ENSG00000172466	7572
A_33_P3289356	NM_001779	CD58	CD58 molecule	ENST00000369489	ENSG00000116815	965
A_33_P3277728	NM_001001132	ITSN1	intersectin 1 (SH3 domain protein)	ENST00000379960	ENSG00000205726	6453
A_23_P304110	NM_175873	ANKRD43	ankyrin repeat domain 43	ENST00000378693	ENSG00000198944	134548
A_21_P0007032	NA	XLOC_008991	NA	NA	NA	NA
A_23_P85039	NM_003604	IRS4	insulin receptor substrate 4	ENST00000372129	ENSG00000133124	8471
A_24_P929754	NM_199054	MKNK2	MAP kinase interacting serine/threonine kinase 2	ENST00000250896	ENSG00000099875	2872
A_19_P00316164	NA	XLOC_l2_011612	NA	ENST00000514368	ENSG00000249364	NA
A_21_P0009451	NA	XLOC_012622	NA	NA	NA	NA
A_33_P3352544	NM_005469	ACOT8	acyl-CoA thioesterase 8	ENST00000486165	ENSG00000101473	10005
A_21_P0012426	NA	XLOC_l2_010063	NA	NA	NA	NA
A_21_P0002033	NA	XLOC_002022	NA	ENST00000430051	ENSG00000235497	NA
A_21_P0001158	NA	XLOC_000930	NA	ENST00000435311	ENSG00000231987	NA
A_23_P73763	NM_006014	LAGE3	L antigen family, member 3	ENST00000357360	ENSG00000196976	8270
A_33_P3416376	NA	NA	NA	NA	NA	NA
A_33_P3413667	NM_001136001	ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2	ENST00000392043	ENSG00000143322	27
A_19_P00322733	NA	XLOC_l2_015585	NA	NA	NA	NA
A_23_P56654	NM_032601	MCEE	methylmalonyl CoA epimerase	ENST00000462609	ENSG00000124370	84693
A_21_P0000683	NR_037662	LOC100287632	selenoprotein K pseudogene	ENST00000429807	ENSG00000225549	NA
A_33_P3402817	NM_001145148	CRHR1	corticotropin releasing hormone receptor 1	NA	NA	NA
A_23_P355067	NM_019026	TMCO1	transmembrane and coiled-coil domains 1	ENST00000476143	ENSG00000143183	54499
A_24_P867342	NR_027083	AFMID	arylformamidase	ENST00000409431	NA	NA
A_21_P0004018	NA	XLOC_004435	NA	ENST00000512650	ENSG00000250615	NA
A_33_P3510837	NA	NA	NA	NA	NA	NA
A_33_P3402635	NM_001214	C16orf3	chromosome 16 open reading frame 3	ENST00000408886	ENSG00000221819	NA
A_33_P3256355	NA	NA	NA	NA	NA	NA
A_23_P157628	NM_004942	DEFB4A	defensin, beta 4A	ENST00000302247	ENSG00000171711	1673
A_33_P3288844	NM_000565	IL6R	interleukin 6 receptor	ENST00000368485	ENSG00000160712	3570
A_24_P81947	NM_014325	CORO1C	coronin, actin binding protein, 1C	ENST00000261401	ENSG00000110880	23603
A_24_P522631	NM_001130924	TMEM201	transmembrane protein 201	ENST00000340381	ENSG00000188807	199953
A_21_P0006707	NA	XLOC_008633	NA	ENST00000445647	ENSG00000234952	NA
A_33_P3210561	NA	NA	NA	NA	NA	NA
A_23_P60101	NM_030895	ZNF696	zinc finger protein 696	ENST00000330143	ENSG00000185730	79943
A_33_P3413404	NA	PARVB	parvin, beta	ENST00000402876	ENSG00000188677	29780
A_23_P416036	NM_017518	HAUS7	HAUS augmin-like complex, subunit 7	ENST00000437046	ENSG00000213397	55559
A_23_P365189	NM_015099	CAMTA2	calmodulin binding transcription activator 2	NA	NA	NA
A_23_P159237	NM_005293	GPR20	G protein-coupled receptor 20	ENST00000377741	ENSG00000204882	2843
A_23_P66241	NM_176870	MT1M	metallothionein 1M	ENST00000379818	ENSG00000205364	4499
A_23_P1352	NM_003015	SFRP5	secreted frizzled-related protein 5	ENST00000266066	ENSG00000120057	6425
A_33_P3409944	NM_005272	GNAT2	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2	ENST00000351050	ENSG00000134183	2780
A_33_P3216458	NM_003812	ADAM23	ADAM metallopeptidase domain 23	ENST00000374416	NA	NA
A_33_P3340094	XR_110166	FLJ45832	FLJ45832 protein	NA	NA	NA
A_33_P3420068	NM_001002296	GOLGA7	golgin A7	ENST00000523420	ENSG00000147533	51125
A_23_P254888	NM_003461	ZYX	zyxin	ENST00000449423	NA	NA
A_21_P0014118	XR_108490	LOC100507224	uncharacterized LOC100507224	NA	NA	NA
A_33_P3332018	NM_006682	FGL2	fibrinogen-like 2	ENST00000248598	ENSG00000127951	10875
A_21_P0000238	NR_002433	SNORD12C	small nucleolar RNA, C/D box 12C	NA	NA	NA
A_24_P379693	NM_012100	DNPEP	aspartyl aminopeptidase	ENST00000273075	ENSG00000123992	23549
A_33_P3362536	NA	NA	NA	NA	NA	NA
A_23_P135164	NM_207309	UAP1L1	UDP-N-acteylglucosamine pyrophosphorylase 1-like 1	ENST00000474787	ENSG00000197355	91373
A_33_P3258462	NR_024419	LOC100192426	uncharacterized LOC100192426	NA	NA	NA
A_21_P0002708	NA	XLOC_002886	NA	ENST00000462531	ENSG00000241336	NA
A_23_P79231	NM_134442	CREB1	cAMP responsive element binding protein 1	ENST00000432329	ENSG00000118260	1385
A_21_P0001883	NA	XLOC_001542	NA	ENST00000443419	ENSG00000233605	NA
A_23_P54170	NM_005466	MED6	mediator complex subunit 6	ENST00000556044	ENSG00000133997	10001
A_24_P330773	NM_005831	CALCOCO2	calcium binding and coiled-coil domain 2	ENST00000258947	ENSG00000136436	10241
A_21_P0000692	NR_037850	LOC100505832	uncharacterized LOC100505832	ENST00000433082	ENSG00000230461	NA
A_23_P385263	NM_015557	CHD5	chromodomain helicase DNA binding protein 5	ENST00000538279	NA	NA
A_21_P0010576	NA	XLOC_l2_000641	NA	ENST00000449219	ENSG00000185495	NA
A_19_P00317963	NA	XLOC_005849	NA	NA	NA	NA
A_23_P325080	NM_017432	PTOV1	prostate tumor overexpressed 1	ENST00000221557	NA	NA
A_21_P0001108	NA	XLOC_000745	NA	ENST00000424084	ENSG00000233755	NA
A_21_P0001809	NA	XLOC_001308	NA	ENST00000444079	ENSG00000233633	NA
A_23_P163455	NM_002373	MAP1A	microtubule-associated protein 1A	ENST00000399453	NA	NA
A_24_P307306	NA	NA	NA	NA	NA	NA
A_21_P0007977	NA	XLOC_010543	NA	ENST00000444744	ENSG00000234772	NA
A_21_P0006814	NA	XLOC_008351	NA	NA	NA	NA
A_21_P0001135	NA	XLOC_000849	NA	ENST00000451090	ENSG00000235215	NA
A_21_P0005381	NA	XLOC_006099	NA	NA	NA	NA
A_33_P3335661	NM_182495	FAM55B	family with sequence similarity 55, member B	ENST00000389586	ENSG00000204361	120406
A_33_P3234267	NA	LOC100130442	uncharacterized LOC100130442	NA	NA	NA
A_19_P00808367	NR_003505	PPP4R1L	NA	ENST00000475130	NA	NA
A_33_P3247095	NA	NA	NA	ENST00000447610	ENSG00000275909	NA
A_21_P0002008	NA	XLOC_001973	NA	ENST00000456681	ENSG00000235665	NA
A_21_P0006299	NA	XLOC_007800	NA	NA	NA	NA
A_21_P0013137	NA	TCP10L2	t-complex 10-like 2 (mouse)	ENST00000473271	ENSG00000166984	401285
A_33_P3345821	NA	NA	NA	NA	NA	NA
A_21_P0009032	NA	XLOC_011943	NA	NA	NA	NA
A_33_P3407742	NM_001033556	PPM1B	protein phosphatase, Mg2+/Mn2+ dependent, 1B	ENST00000409895	NA	NA
A_33_P3310039	NM_001079512	FAM18A	family with sequence similarity 18, member A	ENST00000299866	ENSG00000166676	780776
A_33_P3347055	NA	NA	NA	NA	NA	NA
A_19_P00316341	XR_108813	LOC100506860	NA	NA	NA	NA
A_33_P3251538	NM_001006618	MAPKAP1	mitogen-activated protein kinase associated protein 1	ENST00000473837	ENSG00000119487	79109
A_24_P365180	NM_032160	DSEL	dermatan sulfate epimerase-like	ENST00000397964	NA	NA
A_33_P3372752	XM_003118492	LOC400682	zinc finger protein 100-like	NA	NA	NA
A_24_P267592	NM_015474	SAMHD1	SAM domain and HD domain 1	NA	NA	NA
A_21_P0014058	XR_108299	MGST3	microsomal glutathione S-transferase 3	ENST00000461759	ENSG00000143198	4259
A_33_P3290089	XR_109536	LOC100505585	uncharacterized LOC100505585	NA	NA	NA
A_24_P219114	NM_005065	SEL1L	sel-1 suppressor of lin-12-like (C. elegans)	ENST00000336735	ENSG00000071537	6400
A_21_P0004242	NA	XLOC_004350	NA	NA	NA	NA
A_21_P0003089	NA	XLOC_002995	NA	ENST00000343123	ENSG00000188002	NA
A_24_P165545	NM_153254	TTLL10	tubulin tyrosine ligase-like family, member 10	ENST00000379289	ENSG00000162571	254173
A_33_P3311267	NM_181608	KRTAP19-2	keratin associated protein 19-2	ENST00000334055	ENSG00000186965	337969
A_24_P7600	NM_012304	FBXL7	F-box and leucine-rich repeat protein 7	ENST00000329673	ENSG00000183580	23194
A_33_P3340862	NM_001146685	TMEM88B	transmembrane protein 88B	NA	NA	NA
A_24_P944756	NM_022351	NECAB1	N-terminal EF-hand calcium binding protein 1	ENST00000417640	ENSG00000123119	64168
